,Company_Name,Location,Industry,Investor,Amount,Funding_Stage,Year
104,CARS24,Haryana,Retail,"Global Car Group, Freemark holdings",200000000.0,Series E,2020
105,Astrogate Labs,Bangalore,Spacetech,"Venture Catalysts, Speciale Invest",,,2020
106,Power Gummies,Delhi,HealthTech,Venture Catalysts,,Bridge,2020
107,Cityflo,Mumbai,Transportation,"Anupam Mittal, India Quotient",7000000.0,Series A,2020
108,AlgoBulls,Mumbai,Trading platform,Venture Catalysts,200000.0,,2020
109,Credgenics,Gurugram,FinTech,"Accel India, Breadlake Ventures",3000000.0,Pre-series A,2020
110,Inntot,Kerala,Tech company,Unicorn India Ventures,,,2020
111,Ensuredit,Gurugram,FinTech,Venture Catalysts,300000.0,Pre-series A,2020
112,Shipsy,Gurugram,AI Company,"DTDC, Udaan Angel Partners",6000000.0,Series A,2020
113,ERPNext,Mumbai,Tech company,Rainmatter,1000000.0,,2020
114,LightSpeedAI,Bangalore,Photonics startup,"YourNest, growX ventures",,,2020
115,Grip Invest,Gurugram,FinTech,Gemba Capital,,Pre-series A,2020
116,Unacademy,Bangalore,EdTech,"Dragoneer Investment Group, Tiger Global Management",,,2020
117,Yellow Classes,Gurugram,EdTech,India Quotient,1300000.0,Pre-series A,2020
118,Plum,Bangalore,HealthTech,"Surge, Tanglin Venture Partners",4100000.0,,2020
119,STAGE,Indore,Entertainment,Venture Catalysts,1000000.0,,2020
120,Nykaa,Mumbai,Cosmetics,"Alia Bhatt, Katrina Kaif",,,2020
121,Kaagaz Scanner,Unknown,Scanning app,Pravega Ventures,575000.0,,2020
122,NIRA,Bengaluru,FinTech,"Techstars Bangalore Accelerator, Techstars",1000000.0,,2020
123,Prolixr,Gurugram,Skincare startup,"Alfa Ventures, Divij Bajaj",,Seed,2020
124,Byju's,Bangalore,EdTech,"Owl Ventures, Tiger Global Management",200000000.0,,2020
125,DaMENSCH,Bangalore,E-commerce,"Whiteboard Capital, Matrix Partners India",6000000.0,,2020
126,Country Delight,Haryana,Food and Beverages,"Orios Venture Partners, Matrix Partners India",25000000.0,Series C,2020
127,SignalX,Hyderabad,AI startup,"9Unicorns, 3Lines VC, Hyderabad Angels",800000.0,Seed,2020
128,Lancify,Bangalore,EdTech,"Techstars, Techstars Bangalore Accelerator",300000.0,,2020
129,Krimanshi,Jodhpur,Biotechnology company,"Rajasthan Venture Capital Fund, AIM Smart City",600000.0,Seed,2020
130,Instoried,Bangalore,AI startup,"Venture Catalysts, SOSV",1000000.0,Pre-series A,2020
131,PlayerzPot,Mumbai,Gaming startup,,3000000.0,Series A,2020
132,Instamojo,Bangalore,FinTech,"BASE, Gunosy Capital",,,2020
133,Turtlemint,Mumbai,HealthTech,"Nexus Venture Partners, Dream Incubator",30000000.0,,2020
134,Arata,Delhi,E-commerce,DSG Consumer Partners,1000000.0,Pre-series A,2020
135,MPL,Bangalore,Gaming startup,"Pegasus Tech Ventures, Base Partners",5000000.0,,2020
136,True Balance,Gurugram,FinTech,"IBK Capital, SB Partners",28000000.0,,2020
137,Thrive,Mumbai,FoodTech,"Whiteboard Capital, Ahimsa Capital",,Pre-series A,2020
138,Kitchens Centre,Delhi,Proptech,"Jonathan Swanson, Ankush Gera",,Pre-series A,2020
139,Prescribe,Chennai,HealthTech,Titan Capital,100000.0,,2020
140,Nepra,Ahmedabad,CleanTech,"Asha Impact, Aavishkaar Venture Capital",18000000.0,Series C,2020
141,inFeedo,Gurugram,SaaS startup,"Peyush Bansal, Ritesh Malik",3200000.0,,2020
142,Shilpa Sciences,Bangalore,HealthTech,AngelList India,,Pre-series A,2020
143,Arzooo,Bangalore,Tech Startup,"3Lines, Jabbar Internet Group",,,2020
144,MindTickle,Pune,SaaS platform,"Canaan Partners, NewView Capital",100000000.0,Debt,2020
146,Slice,Bangalore,FinTech,"Better Capital, Gunosy",5000000.0,Debt,2020
147,Rapawalk,Bangalore,E-commerce,"Sanjay Ramakrishnan, Ravi Garikipati",300000.0,Seed,2020
148,Oga Fit's,Bangalore,Fitness startup,9Unicorns,,Pre-series A,2020
149,LAVAL,Bangalore,Cosmetics,Jazal Group,,Pre-series A,2020
150,Stride Ventures,Delhi,Venture capitalist,Small Industries Development Bank of India,80000000.0,,2020
151,BlackSoil,Mumbai,FinTech,,10000000.0,,2020
152,Biocon,Bangalore,Healthcare,Goldman Sachs,15000000.0,,2020
153,Clientjoy,Gujarat,SaaS startup,"LetsVenture, Jyotsna Bapat",800000.0,Pre-series A,2020
154,Xpressbees,Pune,E-commerce,"Alibaba Group, InnoVen Capital",100000000.0,,2020
155,GalaxyCard,Gurugram,FinTech,India Accelerator,,Seed,2020
156,Wellness Forever,Mumbai,HealthTech,"Poonawalla, Allana Group",100000000.0,,2020
157,MoooFarm,Gurugram,AgriTech,"Navus Ventures, Rockstart",500000.0,Pre-seed,2020
